,mtn_name,elevation,elev_feature,time_of_scrape,local_time_issued,forecast_status,local_time_of_forecast,forecast_time_name,forecast_phrase,wind_speed,snow,rain,max_temp,min_temp,chill,freezing_level,cloud_base
113,mont_blanc,1000,base,2024-03-27 19:00:00,2024-03-27 18:00:00,forecast,2024-03-31 23:00:00,night,heavy_rain,0,0.0,15.0,5,3,1,1800,2300.0
114,mont_blanc,1000,base,2024-03-27 19:00:00,2024-03-27 18:00:00,forecast,2024-04-01 07:00:00,am,clear,5,0.0,0.0,7,7,6,1950,
115,mont_blanc,1000,base,2024-03-27 19:00:00,2024-03-27 18:00:00,forecast,2024-04-01 15:00:00,pm,rain_shwrs,5,0.0,0.1,7,4,3,2000,2700.0
116,mont_blanc,1000,base,2024-03-27 19:00:00,2024-03-27 18:00:00,forecast,2024-04-01 23:00:00,night,mod._rain,10,0.0,6.0,4,2,0,1400,2400.0
117,flattop,500,base,2024-03-27 12:00:00,2024-03-26 21:00:00,forecast,2024-03-29 23:00:00,night,cloudy,25,0.0,0.0,-1,-2,-8,200,250.0
118,mont_blanc,2000,,2024-03-26 00:00:00,2024-03-25 18:00:00,actual,2024-03-25 15:00:00,pm,cloudy,10,0.0,0.0,1,-1,-5,2250,6700.0
119,mont_blanc,2000,,2024-03-26 00:00:00,2024-03-25 18:00:00,forecast,2024-03-25 23:00:00,night,some_clouds,10,0.0,0.0,-2,-3,-7,1050,2350.0
120,mont_blanc,2000,,2024-03-26 00:00:00,2024-03-25 18:00:00,forecast,2024-03-26 07:00:00,am,some_clouds,15,0.0,0.0,1,0,-4,2000,2400.0
121,mont_blanc,2000,,2024-03-26 00:00:00,2024-03-25 18:00:00,forecast,2024-03-26 15:00:00,pm,some_clouds,15,0.0,0.0,1,0,-4,2150,2400.0
122,mont_blanc,2000,,2024-03-26 00:00:00,2024-03-25 18:00:00,forecast,2024-03-26 23:00:00,night,snow_shwrs,15,1.0,0.0,0,-1,-5,1850,2500.0
123,mont_blanc,2000,,2024-03-26 00:00:00,2024-03-25 18:00:00,forecast,2024-03-27 07:00:00,am,mod._snow,5,7.0,0.0,-1,-2,-2,1800,2300.0
124,mont_blanc,2000,,2024-03-26 00:00:00,2024-03-25 18:00:00,forecast,2024-03-27 15:00:00,pm,snow_shwrs,10,6.0,0.0,-3,-4,-8,1550,2250.0
125,mont_blanc,2000,,2024-03-26 00:00:00,2024-03-25 18:00:00,forecast,2024-03-27 23:00:00,night,some_clouds,10,0.0,0.0,-3,-5,-9,850,2300.0
126,mont_blanc,2000,,2024-03-26 00:00:00,2024-03-25 18:00:00,forecast,2024-03-28 15:00:00,pm,some_clouds,20,0.0,0.0,-1,-2,-7,1850,5400.0
127,mont_blanc,2000,,2024-03-26 00:00:00,2024-03-25 18:00:00,forecast,2024-03-28 23:00:00,night,some_clouds,15,0.0,0.0,0,-2,-7,1500,4450.0
128,mont_blanc,2000,,2024-03-26 00:00:00,2024-03-25 18:00:00,forecast,2024-03-29 07:00:00,am,some_clouds,20,0.0,0.0,3,2,-2,2800,2300.0
129,mont_blanc,2000,,2024-03-26 00:00:00,2024-03-25 18:00:00,forecast,2024-03-29 15:00:00,pm,cloudy,20,0.0,0.0,3,2,-2,2850,2350.0
130,mont_blanc,2000,,2024-03-26 00:00:00,2024-03-25 18:00:00,forecast,2024-03-29 23:00:00,night,some_clouds,20,0.0,0.0,1,1,-4,2200,2250.0
131,mont_blanc,2000,,2024-03-26 00:00:00,2024-03-25 18:00:00,forecast,2024-03-30 07:00:00,am,snow_shwrs,15,2.0,3.0,3,1,-3,2200,2400.0
132,mont_blanc,2000,,2024-03-26 00:00:00,2024-03-25 18:00:00,forecast,2024-03-30 15:00:00,pm,rain_shwrs,10,0.0,0.5,2,1,-2,2350,2350.0
133,mont_blanc,2000,,2024-03-26 00:00:00,2024-03-25 18:00:00,forecast,2024-03-30 23:00:00,night,some_clouds,10,0.0,0.0,1,1,-2,2150,2400.0
134,mont_blanc,2000,,2024-03-26 06:00:00,2024-03-26 12:00:00,actual,2024-03-25 23:00:00,night,some_clouds,10,0.0,0.0,-2,-3,-7,1100,2350.0
135,mont_blanc,2000,,2024-03-27 19:00:00,2024-03-27 18:00:00,forecast,2024-03-27 23:00:00,night,snow_shwrs,15,2.0,0.0,-4,-6,-11,800,2250.0
136,mont_blanc,2000,,2024-03-27 19:00:00,2024-03-27 18:00:00,forecast,2024-03-28 07:00:00,am,mod._snow,10,9.0,0.0,-4,-4,-9,1400,2300.0
137,mont_blanc,2000,,2024-03-27 19:00:00,2024-03-27 18:00:00,forecast,2024-03-28 15:00:00,pm,snow_shwrs,20,2.0,0.0,-3,-4,-10,1550,2300.0
138,mont_blanc,2000,,2024-03-27 19:00:00,2024-03-27 18:00:00,forecast,2024-03-28 23:00:00,night,some_clouds,15,0.0,0.0,0,-4,-9,1150,5300.0
139,mont_blanc,2000,,2024-03-27 19:00:00,2024-03-27 18:00:00,forecast,2024-03-29 07:00:00,am,cloudy,20,0.0,0.0,2,1,-4,2450,2250.0
140,mont_blanc,2000,,2024-03-27 19:00:00,2024-03-27 18:00:00,forecast,2024-03-29 15:00:00,pm,some_clouds,20,0.0,0.0,2,1,-4,2550,2300.0
141,mont_blanc,2000,,2024-03-27 19:00:00,2024-03-27 18:00:00,forecast,2024-03-29 23:00:00,night,some_clouds,20,0.0,0.0,1,0,-5,2000,2250.0
142,mont_blanc,2000,,2024-03-27 19:00:00,2024-03-27 18:00:00,forecast,2024-03-30 07:00:00,am,snow_shwrs,15,2.0,0.0,2,2,-2,2350,2300.0
143,mont_blanc,2000,,2024-03-27 19:00:00,2024-03-27 18:00:00,forecast,2024-03-30 15:00:00,pm,light_snow,10,2.0,0.0,1,0,-3,2150,2350.0
144,mont_blanc,2000,,2024-03-26 12:00:00,2024-03-26 06:00:00,actual,2024-03-26 07:00:00,am,some_clouds,15,0.0,0.0,0,0,-4,1950,2350.0
145,mont_blanc,2000,,2024-03-26 12:00:00,2024-03-26 06:00:00,forecast,2024-03-26 15:00:00,pm,some_clouds,15,0.0,0.0,1,-1,-5,2150,2350.0
146,mont_blanc,2000,,2024-03-26 12:00:00,2024-03-26 06:00:00,forecast,2024-03-26 23:00:00,night,light_snow,15,1.0,0.0,0,-1,-5,1900,2450.0
147,mont_blanc,2000,,2024-03-26 12:00:00,2024-03-26 06:00:00,forecast,2024-03-27 07:00:00,am,mod._snow,0,8.0,0.0,-2,-2,-2,1700,2250.0
148,mont_blanc,2000,,2024-03-26 12:00:00,2024-03-26 06:00:00,forecast,2024-03-27 15:00:00,pm,mod._snow,10,6.0,0.0,-3,-4,-8,1550,2250.0
149,mont_blanc,2000,,2024-03-26 12:00:00,2024-03-26 06:00:00,forecast,2024-03-27 23:00:00,night,snow_shwrs,15,1.0,0.0,-4,-5,-9,900,2250.0
150,mont_blanc,2000,,2024-03-26 12:00:00,2024-03-26 06:00:00,forecast,2024-03-28 07:00:00,am,snow_shwrs,15,6.0,0.0,-4,-5,-11,1400,2250.0
151,mont_blanc,2000,,2024-03-26 12:00:00,2024-03-26 06:00:00,forecast,2024-03-28 15:00:00,pm,some_clouds,20,0.0,0.0,-4,-6,-12,1450,2700.0
